Topic,Decision,Reason,Final,Answer,Explain,Original,Review JSON
資料庫 - Index,rewrite,題目缺乏完整性，只有一個選項且沒有正確答案的指示，更需要其他選項以形成多選題。,"題目：關於資料庫索引的類型與適用情境，下列何者正確？
(A) B-Tree 索引適用於範圍查詢。
(B) Hash 索引適用於範圍查詢。
(C) GiST 索引不適用於空間資料。
(D) Bitmap 索引適合高更新頻率的列。
答案：A
解析：B-Tree 索引適合進行範圍查詢，而 Hash 索引則主要用於精確查詢。GiST 索引可以用於空間資料，而 Bitmap 索引適合於查詢頻率低的情況。",A,B-Tree 索引適合進行範圍查詢，而 Hash 索引則主要用於精確查詢。GiST 索引可以用於空間資料，而 Bitmap 索引適合於查詢頻率低的情況。,"題目：關於資料庫索引的類型與適用情境，下列何者正確？
(A) B-Tree 索引","{""decision"": ""rewrite"", ""reason"": ""題目缺乏完整性，只有一個選項且沒有正確答案的指示，更需要其他選項以形成多選題。"", ""final_question"": ""關於資料庫索引的類型與適用情境，下列何者正確？\n\n(A) B-Tree 索引適用於範圍查詢。\n(B) Hash 索引適用於範圍查詢。\n(C) GiST 索引不適用於空間資料。\n(D) Bitmap 索引適合高更新頻率的列。\n\n正確答案：A\n\n解析：B-Tree 索引適合進行範圍查詢，而 Hash 索引則主要用於精確查詢。GiST 索引可以用於空間資料，而 Bitmap 索引適合於查詢頻率低的情況。""}"
演算法 - Dynamic Programming,rewrite,題目不夠具體，未給出明確要求或選項，且未包含答案及解析。,,N/A,N/A,題目（gpt5 空白）請出與 演算法 - Dynamic Programming 有關的題目。,"{""decision"": ""rewrite"", ""reason"": ""題目不夠具體，未給出明確要求或選項，且未包含答案及解析。"", ""final_question"": {""question"": ""在以下哪個問題中，可以使用動態規劃（Dynamic Programming）來有效解決？"", ""options"": [""A. 二分搜尋法的查找問題"", ""B. 背包問題（0/1 Knapsack Problem）"", ""C. 快速排序的實現"", ""D. 字符串的直接比較""], ""answer"": ""B"", ""explanation"": ""背包問題是一個典型的動態規劃問題，旨在通過逐步積累最佳解來解決選擇和容量的衝突。""}}"
作業系統 - 排程(Scheduling),rewrite,題目不清楚，缺少具體的考察點和選項，無法確定考核的知識面。,,N/A,N/A,題目（gpt5 空白）請出與 作業系統 - 排程(Scheduling) 有關的題目。,"{""decision"": ""rewrite"", ""reason"": ""題目不清楚，缺少具體的考察點和選項，無法確定考核的知識面。"", ""final_question"": {""question"": ""以下哪一種排程演算法會優先考慮到進程的周轉時間？"", ""options"": [""A. 先來先服務 (FCFS)"", ""B. 短作業優先 (SJF)"", ""C. 優先權排程"", ""D. 鬆弛排程 (Round Robin)""], ""answer"": ""B"", ""explanation"": ""短作業優先 (SJF) 演算法會優先考慮到較短的作業，從而最小化進程的周轉時間，提升整體效率。""}}"
演算法 - Sorting,rewrite,題目不明確，缺少具體問題與選項。,,N/A,N/A,題目（gpt5 空白）請出與 演算法 - Sorting 有關的題目。,"{""decision"": ""rewrite"", ""reason"": ""題目不明確，缺少具體問題與選項。"", ""final_question"": {""question"": ""以下哪一種排序演算法的最佳時間複雜度為 O(n log n)？"", ""options"": [""A. 冒泡排序 (Bubble Sort)"", ""B. 快速排序 (Quick Sort)"", ""C. 插入排序 (Insertion Sort)"", ""D. 選擇排序 (Selection Sort)""], ""answer"": ""B"", ""explanation"": ""快速排序在最佳情況下的時間複雜度為 O(n log n)，而其他選項的最佳複雜度均無法達到此效果。""}}"
資料庫 - Index,rewrite,題目不夠清楚，缺少具體問題和選項。,"題目：以下哪項描述最正確地反映了資料庫索引（Index）的作用？
(A) 資料庫索引會導致查詢速度變慢。  
(B) 資料庫索引不能提高查詢的效率。  
(C) 資料庫索引是一種資料結構，可以加快查詢操作的速度。  
(D) 資料庫索引僅用於儲存非結構化數據。

答案：C  
解析：資料庫索引是一個用來提高資料查詢速度的資料結構，透過索引，資料庫能夠更快地定位到所需的資料。",C,資料庫索引是一個用來提高資料查詢速度的資料結構，透過索引，資料庫能夠更快地定位到所需的資料。,題目（gpt5 空白）請出與 資料庫 - Index 有關的題目。,"{""decision"": ""rewrite"", ""reason"": ""題目不夠清楚，缺少具體問題和選項。"", ""final_question"": ""以下哪項描述最正確地反映了資料庫索引（Index）的作用？\n\nA. 資料庫索引會導致查詢速度變慢。  \nB. 資料庫索引不能提高查詢的效率。  \nC. 資料庫索引是一種資料結構，可以加快查詢操作的速度。  \nD. 資料庫索引僅用於儲存非結構化數據。\n\n正確答案：C. 資料庫索引是一種資料結構，可以加快查詢操作的速度。\n\n解析：資料庫索引是一個用來提高資料查詢速度的資料結構，透過索引，資料庫能夠更快地定位到所需的資料。""}"
資料結構 - 二元搜尋樹(BST),rewrite,題目不夠具體，缺少選項和答案，需要針對二元搜尋樹提出具體問題。,,N/A,N/A,題目（gpt5 空白）請出與 資料結構 - 二元搜尋樹(BST) 有關的題目。,"{""decision"": ""rewrite"", ""reason"": ""題目不夠具體，缺少選項和答案，需要針對二元搜尋樹提出具體問題。"", ""final_question"": {""question"": ""以下描述中哪一項是二元搜尋樹（BST）的特性？"", ""options"": [""A. 所有節點的值都大於其左子樹所有節點的值。"", ""B. 所有節點的值都小於其右子樹所有節點的值。"", ""C. 每個節點最多有兩個子節點。"", ""D. 所有上述選項都是二元搜尋樹的特性。""], ""answer"": ""D"", ""explanation"": ""二元搜尋樹的特性包括：每個節點的值大於其左子樹的所有節點的值，小於其右子樹的所有節點的值，並且每個節點最多有兩個子節點。""}}"
演算法 - Searching,rewrite,題目要求搜尋算法在期望時間上優於二分搜尋，但選項只給了一種(線性)，且線性搜尋無法優於二分搜尋。因此選項不合理，需增加選項並引導清晰。,"題目：在一個已排序且鍵值近似均勻分佈的長度為 n 的陣列中，對單次查找，以下哪種搜尋演算法在期望時間複雜度上可優於二分搜尋？
(A) 線性搜尋  
(B) 插值搜尋  
(C) 幾何搜尋  
(D) 分裂搜尋  
答案：B  
解析：插值搜尋在特定的均勻分佈情況下，其期望時間複雜度可優於二分搜尋，而線性搜尋則不可能優於二分搜尋。",B,插值搜尋在特定的均勻分佈情況下，其期望時間複雜度可優於二分搜尋，而線性搜尋則不可能優於二分搜尋。,"題目：在一個已排序且鍵值近似均勻分佈的長度為 n 陣列中，對單次查找，以下哪種搜尋演算法在期望時間複雜度上可優於二分搜尋？
(A) 線性","{""decision"": ""rewrite"", ""reason"": ""題目要求搜尋算法在期望時間上優於二分搜尋，但選項只給了一種(線性)，且線性搜尋無法優於二分搜尋。因此選項不合理，需增加選項並引導清晰。"", ""final_question"": ""在一個已排序且鍵值近似均勻分佈的長度為 n 的陣列中，對單次查找，以下哪種搜尋演算法在期望時間複雜度上可優於二分搜尋？\n\n(A) 線性搜尋\n(B) 插值搜尋\n(C) 幾何搜尋\n(D) 分裂搜尋\n\n答案： (B) 插值搜尋\n\n解析：插值搜尋在特定的均勻分佈情況下，其期望時間複雜度可優於二分搜尋，而線性搜尋則不可能優於二分搜尋。""}"
資料庫 - Transaction,accept,題目清楚，選項合理，且答案唯一。,"題目：在遵循 SQL 標準的交易隔離級別中，哪一個隔離級別能防止髒讀與不可重複讀，但仍可能發生幻讀？

(A) Read Uncommitted  
(B) Read Committed  
(C) Repeatable Read  
(D) Serializable  

答案：C  
解析：SQL 標準下，Repeatable Read 可避免髒讀與不可重複讀，但仍可能出現幻讀；Serializable 才能避免所有三種異常（髒讀、不可重複讀、幻讀）。Read Committed 只能避免髒讀；Read Uncommitted 連髒讀也無法避免。",C,SQL 標準下，Repeatable Read 可避免髒讀與不可重複讀，但仍可能出現幻讀；Serializable 才能避免所有三種異常（髒讀、不可重複讀、幻讀）。Read Committed 只能避免髒讀；Read Uncommitted 連髒讀也無法避免。,"題目：在遵循 SQL 標準的交易隔離級別中，哪一個隔離級別能防止髒讀與不可重複讀，但仍可能發生幻讀？
(A) Read Uncommitted
(B) Read Committed
(C) Repeatable Read
(D) Serializable
答案：C
解析：SQL 標準下，Repeatable Read 可避免髒讀與不可重複讀，但仍可能出現幻讀；Serializable 才能避免所有三種異常（髒讀、不可重複讀、幻讀）。Read Committed 只能避免髒讀；Read Uncommitted 連髒讀也無法避免。","{""decision"": ""accept"", ""reason"": ""題目清楚，選項合理，且答案唯一。"", ""final_question"": ""在遵循 SQL 標準的交易隔離級別中，哪一個隔離級別能防止髒讀與不可重複讀，但仍可能發生幻讀？\n\n(A) Read Uncommitted  \n(B) Read Committed  \n(C) Repeatable Read  \n(D) Serializable  \n\n**答案：** C  \n\n**解析：** SQL 標準下，Repeatable Read 可避免髒讀與不可重複讀，但仍可能出現幻讀；Serializable 才能避免所有三種異常（髒讀、不可重複讀、幻讀）。Read Committed 只能避免髒讀；Read Uncommitted 連髒讀也無法避免。""}"
計算機網路 - TCP,rewrite,題目不具體，缺乏選項及答案，無法進行有效的審題。,"題目：下列關於計算機網路中 TCP (傳輸控制協定) 的敘述，何者是正確的？
(A) TCP 是一種無連接的傳輸協定。
(B) TCP 提供可靠的數據傳輸。
(C) TCP 不使用擁塞控制機制。
(D) TCP 在數據傳輸時不進行錯誤檢查。

答案：B  
解析：TCP (傳輸控制協定) 是一種面向連接的協定，提供可靠的數據傳輸功能，包括錯誤檢查和擁塞控制機制。",B,TCP (傳輸控制協定) 是一種面向連接的協定，提供可靠的數據傳輸功能，包括錯誤檢查和擁塞控制機制。,題目（gpt5 空白）請出與 計算機網路 - TCP 有關的題目。,"{""decision"": ""rewrite"", ""reason"": ""題目不具體，缺乏選項及答案，無法進行有效的審題。"", ""final_question"": ""下列關於計算機網路中 TCP (傳輸控制協定) 的敘述，何者是正確的？\n\nA. TCP 是一種無連接的傳輸協定。\nB. TCP 提供可靠的數據傳輸。\nC. TCP 不使用擁塞控制機制。\nD. TCP 在數據傳輸時不進行錯誤檢查。\n\n正確答案：B\n\n解析：TCP (傳輸控制協定) 是一種面向連接的協定，提供可靠的數據傳輸功能，包括錯誤檢查和擁塞控制機制。""}"
計算機網路 - Routing,rewrite,題目不夠具體，未提供選項，無法清楚評估問題，也缺乏唯一答案的可能性。,"題目：以下哪一項是路由器選擇最佳路徑的常見協定？
(A) IP
(B) TCP
(C) BGP
(D) HTTP
答案：C
解析：BGP（邊界網路協定）是一種用於互聯網上路由選擇的協定，幫助路由器選擇最佳的資料傳輸路徑。",C,BGP（邊界網路協定）是一種用於互聯網上路由選擇的協定，幫助路由器選擇最佳的資料傳輸路徑。,題目（gpt5 空白）請出與 計算機網路 - Routing 有關的題目。,"{""decision"": ""rewrite"", ""reason"": ""題目不夠具體，未提供選項，無法清楚評估問題，也缺乏唯一答案的可能性。"", ""final_question"": ""以下哪一項是路由器選擇最佳路徑的常見協定？\nA) IP\nB) TCP\nC) BGP\nD) HTTP\n\n答案：C) BGP\n\n解析：BGP（邊界網路協定）是一種用於互聯網上路由選擇的協定，幫助路由器選擇最佳的資料傳輸路徑。""}"
